ID=TraesCS4B01G131100;primconf=HC
ID=TraesCS1D01G376100;primconf=HC
ID=TraesCS3B01G383900;primconf=HC
ID=TraesCS7B01G339400;primconf=HC
ID=TraesCS4A01G444300;primconf=HC
ID=TraesCS2B01G142100;primconf=HC
ID=TraesCS2D01G517700;primconf=HC
ID=TraesCS4A01G188600;primconf=HC
ID=TraesCS2B01G149300;primconf=HC
ID=TraesCS2B01G481500;primconf=HC
ID=TraesCS7D01G228600;primconf=HC
ID=TraesCS2A01G485700;primconf=HC
ID=TraesCS4B01G153900;primconf=HC
ID=TraesCS5D01G167600;primconf=HC
ID=TraesCS2B01G161400;primconf=HC
ID=TraesCS6B01G180900;primconf=HC
ID=TraesCS4D01G152700;primconf=HC
ID=TraesCS6B01G064600;primconf=HC
ID=TraesCS2B01G109500;primconf=HC
ID=TraesCS2A01G470600;primconf=HC
ID=TraesCS7B01G348200;primconf=HC
ID=TraesCS7B01G137600;primconf=HC
ID=TraesCS5D01G096900;primconf=HC
ID=TraesCS2D01G037600;primconf=HC
ID=TraesCS2B01G129400;primconf=HC
ID=TraesCS4A01G136700;primconf=HC
ID=TraesCS7D01G309300;primconf=HC
ID=TraesCS7A01G284500;primconf=HC
ID=TraesCS5D01G115400;primconf=HC
ID=TraesCS5D01G454600;primconf=HC
ID=TraesCS2B01G318000;primconf=HC
ID=TraesCS7A01G294200;primconf=HC
ID=TraesCS4B01G141700;primconf=HC
ID=TraesCS1A01G091100;primconf=HC
ID=TraesCS4A01G163400;primconf=HC
ID=TraesCS2D01G097600;primconf=HC
ID=TraesCS3A01G285600;primconf=HC
ID=TraesCS2B01G425000;primconf=HC
ID=TraesCS6B01G070500;primconf=HC
ID=TraesCS2A01G067700;primconf=HC
ID=TraesCS2D01G039900;primconf=HC
ID=TraesCS4B01G221400;primconf=HC
ID=TraesCS7A01G320400;primconf=HC
ID=TraesCS4B01G075700;primconf=HC
ID=TraesCS2A01G237000;primconf=HC
ID=TraesCS2A01G364700;primconf=HC
ID=TraesCS3B01G149600;primconf=HC
ID=TraesCS7D01G348700;primconf=HC
ID=TraesCS1A01G177800;primconf=HC
ID=TraesCS3B01G376300;primconf=HC
ID=TraesCS5D01G430000;primconf=HC
ID=TraesCS3B01G103500;primconf=HC
ID=TraesCS7B01G263700;primconf=HC
ID=TraesCS4D01G051400;primconf=HC
ID=TraesCS1B01G122500;primconf=HC
ID=TraesCS5A01G081800;primconf=HC
ID=TraesCS7D01G369100;primconf=HC
ID=TraesCS1B01G348800;primconf=HC
ID=TraesCS4B01G227200;primconf=HC
ID=TraesCS5B01G283900;primconf=HC
ID=TraesCS5A01G081400;primconf=HC
ID=TraesCS7B01G460900;primconf=HC
ID=TraesCS2B01G323100;primconf=HC
ID=TraesCS2D01G087300;primconf=HC
ID=TraesCS6A01G336300;primconf=HC
ID=TraesCS6D01G135500;primconf=HC
ID=TraesCS1A01G120100;primconf=HC
ID=TraesCS3B01G217500;primconf=HC
ID=TraesCS2A01G117600;primconf=HC
ID=TraesCS2D01G191000;primconf=HC
ID=TraesCS6B01G023900;primconf=HC
ID=TraesCS2B01G227700;primconf=HC
ID=TraesCS3A01G405900;primconf=HC
ID=TraesCS2A01G202900;primconf=HC
ID=TraesCS4A01G267000;primconf=HC
ID=TraesCS1A01G383700;primconf=HC
ID=TraesCS2D01G401600;primconf=HC
ID=TraesCS5A01G219500;primconf=HC
ID=TraesCS5B01G449100;primconf=HC
ID=TraesCS2B01G429400;primconf=HC
ID=TraesCS2B01G338300;primconf=HC
ID=TraesCS4A01G150000;primconf=HC
ID=TraesCS6B01G272400;primconf=HC
ID=TraesCS1D01G204900;primconf=HC
ID=TraesCS5B01G229300;primconf=HC
ID=TraesCS1A01G133500;primconf=HC
ID=TraesCS1A01G349100;primconf=HC
ID=TraesCS3B01G449500;primconf=HC
ID=TraesCS7A01G303200;primconf=HC
ID=TraesCS2B01G236800;primconf=HC
ID=TraesCS1D01G226400;primconf=HC
ID=TraesCS5B01G352400;primconf=HC
ID=TraesCS4A01G000900;primconf=HC
ID=TraesCS1A01G364500;primconf=HC
